User: BMG_USER,Path: C:\Users\shared\BMG_USER_WORK_DIR\Data,Test run no.: 2794
Test name: dCas9_sg_plate384,Date: 04.05.2024,Time: 20:02:52

Fluorescence polarization (FP)

Cycle 10 (57 min 27 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5133,4861,5515,4841,4722,4716,4443,4713,4765,23147,976,,,,,,,,,,,,,
B,5201,5152,5175,5208,5156,4770,4998,4777,4971,24601,1043,,,,,,,,,,,,,
C,4969,4650,5400,5478,5052,5006,4656,4939,4952,24604,1073,,,,,,,,,,,,,
D,7037,7263,7855,7335,6956,7015,6877,6739,5956,25919,1047,,,,,,,,,,,,,
E,7218,7333,7171,7523,7126,7248,6960,6783,6859,25507,1069,,,,,,,,,,,,,
F,6902,7669,7642,7585,6631,7144,6970,6820,6512,25153,1034,,,,,,,,,,,,,
G,7168,7241,7565,6947,7130,6551,6373,6404,6580,25423,1142,,,,,,,,,,,,,
H,7207,7128,7128,7276,6808,6528,6605,6359,6597,25252,1140,,,,,,,,,,,,,
I,6530,7164,6624,6526,5723,6624,6102,6548,6626,25753,1102,,,,,,,,,,,,,
J,7205,7072,7265,7281,7156,6947,6934,6797,7031,25381,1030,,,,,,,,,,,,,
K,7100,7280,7341,7589,7147,6935,7008,6971,7058,25692,1041,,,,,,,,,,,,,
L,6679,7189,7494,7386,7185,6964,6924,6674,6956,25130,1089,,,,,,,,,,,,,
M,6593,7604,7524,7628,7383,7719,7357,7289,7271,25109,1043,,,,,,,,,,,,,
N,7478,7933,7542,7368,7076,7480,7054,7140,7031,25543,1030,,,,,,,,,,,,,
O,6237,7498,7197,7279,7149,7105,7093,6646,6768,24244,1019,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3871,3696,4115,3613,3565,3481,3366,3555,3497,21780,431,,,,,,,,,,,,,
B,3950,3834,3772,3862,3744,3533,3555,3572,3646,23124,445,,,,,,,,,,,,,
C,3770,3519,4111,4016,3753,3652,3468,3516,3670,23377,444,,,,,,,,,,,,,
D,5439,5490,5844,5589,5164,5163,5180,4925,4381,23924,431,,,,,,,,,,,,,
E,5628,5619,5413,5672,5270,5303,5205,5129,5072,24076,432,,,,,,,,,,,,,
F,5403,5789,5780,5659,4978,5234,5156,5008,4740,23545,443,,,,,,,,,,,,,
G,4378,4455,4676,4440,4614,4644,4708,4780,5030,23995,444,,,,,,,,,,,,,
H,4441,4374,4402,4570,4537,4691,4763,4688,4856,23539,444,,,,,,,,,,,,,
I,3959,4426,4162,4227,3923,4483,4287,4802,4825,24145,463,,,,,,,,,,,,,
J,5366,5246,5253,5446,5181,5144,5062,5052,5054,23701,419,,,,,,,,,,,,,
K,5361,5311,5439,5504,5194,5066,5080,5062,5098,24026,438,,,,,,,,,,,,,
L,4976,5160,5461,5291,5067,5030,4985,4824,4980,23372,420,,,,,,,,,,,,,
M,4981,5690,5659,5695,5492,5614,5397,5264,5281,23222,465,,,,,,,,,,,,,
N,5635,5844,5529,5501,5253,5431,5133,5275,5216,23305,420,,,,,,,,,,,,,
O,4854,5796,5428,5477,5182,5322,5173,4911,5086,22531,421,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 9 (51 min 4 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5252,5052,5589,4835,4909,4814,4525,4876,4811,22900,1058,,,,,,,,,,,,,
B,5112,5112,5225,5289,5081,4969,4883,4874,4892,24559,1053,,,,,,,,,,,,,
C,4947,4609,5459,5492,5194,4858,4683,4839,5101,24834,1145,,,,,,,,,,,,,
D,7131,7320,7735,7473,7012,7192,6969,6646,5851,26176,1059,,,,,,,,,,,,,
E,7449,7523,7124,7609,7320,7306,6861,6903,6836,25814,1063,,,,,,,,,,,,,
F,6990,7612,7579,7386,6776,7118,6924,6864,6349,25137,1085,,,,,,,,,,,,,
G,7316,7193,7588,6931,6906,6675,6395,6521,6687,25372,1107,,,,,,,,,,,,,
H,7336,7256,7437,7269,6869,6718,6713,6400,6590,25506,1150,,,,,,,,,,,,,
I,6648,7417,6662,6516,5797,6525,6023,6704,6588,25556,1087,,,,,,,,,,,,,
J,7208,7316,7197,7387,7232,6961,6998,6830,6907,25070,1071,,,,,,,,,,,,,
K,7287,7266,7485,7613,7277,7009,6980,6966,7129,25611,1105,,,,,,,,,,,,,
L,6569,7179,7597,7403,7017,7083,6979,6918,6996,25218,1022,,,,,,,,,,,,,
M,6475,7784,7599,7631,7622,7465,7433,7399,7378,25237,1018,,,,,,,,,,,,,
N,7573,7787,7641,7571,7228,7454,7008,7282,7249,25534,995,,,,,,,,,,,,,
O,6224,7590,7320,7420,7098,7088,7065,6773,6908,24055,1077,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3913,3789,4144,3676,3538,3557,3284,3477,3487,21909,441,,,,,,,,,,,,,
B,3963,3774,3805,3909,3754,3534,3553,3568,3601,22980,434,,,,,,,,,,,,,
C,3750,3461,4097,4041,3756,3633,3449,3615,3735,23297,427,,,,,,,,,,,,,
D,5530,5527,5846,5597,5198,5278,5059,4916,4318,24101,440,,,,,,,,,,,,,
E,5547,5718,5385,5685,5351,5345,5142,5145,5042,24316,449,,,,,,,,,,,,,
F,5468,5868,5813,5734,5023,5321,5086,5014,4850,23928,448,,,,,,,,,,,,,
G,4500,4509,4732,4472,4688,4685,4691,4811,4898,24094,453,,,,,,,,,,,,,
H,4444,4510,4456,4641,4601,4693,4686,4777,4881,23855,448,,,,,,,,,,,,,
I,4031,4442,4165,4212,3900,4582,4297,4745,4729,24124,424,,,,,,,,,,,,,
J,5364,5371,5316,5455,5230,5189,5062,5045,5084,23874,460,,,,,,,,,,,,,
K,5470,5332,5412,5514,5217,5086,5155,5041,5089,24167,456,,,,,,,,,,,,,
L,4963,5172,5557,5444,5032,5048,4930,4896,5102,23390,427,,,,,,,,,,,,,
M,5002,5748,5664,5714,5512,5559,5498,5287,5444,23423,442,,,,,,,,,,,,,
N,5646,5845,5574,5546,5275,5446,5167,5274,5194,23625,420,,,,,,,,,,,,,
O,4767,5715,5512,5453,5167,5323,5129,4922,4986,22735,456,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 8 (44 min 41 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
