User: BMG_USER,Path: C:\Users\shared\BMG_USER_WORK_DIR\Data,Test run no.: 2790
Test name: dCas9_sg_plate384,Date: 30.04.2024,Time: 18:55:04

Fluorescence polarization (FP)

Cycle 10 (13 min 57 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,9718,8385,8674,7915,9549,8230,8152,8375,23669,3172,,,,,,,,,,,,,,
H,9793,9821,9177,9923,9275,9587,8775,8999,24821,3155,,,,,,,,,,,,,,
I,10035,9738,9703,9717,8879,8850,8861,9282,24794,3099,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,6205,5267,5162,4772,6163,5677,5845,6038,22182,1358,,,,,,,,,,,,,,
H,6202,6119,5905,6183,5984,6744,6569,6547,22685,1265,,,,,,,,,,,,,,
I,6262,6136,6190,5999,5833,6326,6438,6868,23465,1221,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 9 (12 min 24 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,9950,8605,8560,7897,9235,8149,8503,8487,24131,3337,,,,,,,,,,,,,,
H,9706,9822,9329,9599,9352,9837,8835,9180,24801,3167,,,,,,,,,,,,,,
I,9818,9726,9603,9631,9049,8904,8780,9176,24888,3231,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
