well,parallel,perpendicular
A1,80.4,78.8
A2,80.9,81.1
A3,77.7,78.4
A4,80.2,79.6
A5,80.0,79.0
A6,81.1,80.9
A7,17932.3,15503.8
A8,18010.8,15599.2
A9,17863.1,15678.2
A10,17798.3,15520.2
A11,18024.3,15889.0
A12,17775.3,15540.3
B1,18048.2,15130.4
B2,18281.3,15166.3
B3,18111.8,15517.5
B4,18263.4,15384.9
B5,17686.2,15209.8
B6,18007.5,15121.4
C1,23401.2,12527.4
C2,24114.5,12499.9
C3,23750.4,12517.0
C4,22136.8,13268.6
C5,20631.1,14170.9
C6,19404.6,14669.2
C7,18194.1,15000.7
C8,18364.6,15396.4
C9,18016.4,14907.0
C10,17738.4,15400.2
D1,23871.4,12430.9
D2,23526.6,12387.5
D3,23742.4,12843.9
D4,22243.6,13253.3
D5,20835.7,14375.4
D6,18979.4,14799.6
D7,18755.8,15434.9
D8,18057.8,15154.8
D9,18302.8,14956.9
D10,18182.8,15769.6
E1,24153.1,12099.6
E2,23569.4,12451.0
E3,23823.7,12729.6
E4,21882.3,13231.2
E5,20805.0,13934.3
E6,18995.1,15217.0
E7,18755.2,15316.9
E8,18190.4,15096.8
E9,18006.4,15002.3
E10,18524.1,15283.2
F1,23868.0,12702.7
F2,22575.0,13281.7
F3,20445.7,14348.7
F4,19308.9,14437.3
F5,18780.4,15068.1
F6,18357.4,15252.0
F7,17587.1,15094.5
F8,17863.2,15515.7
F9,18094.6,15241.1
F10,18229.2,15280.8
G1,23332.6,12812.0
G2,22460.0,13746.4
G3,20604.0,13683.3
G4,19511.3,14520.4
G5,18005.4,14829.9
G6,18024.4,14829.4
G7,18717.9,15040.3
G8,18884.8,15224.4
G9,18552.7,15259.7
G10,18199.3,15284.8
H1,23327.0,12823.2
H2,22588.7,13278.1
H3,20887.0,13839.2
H4,19392.6,15025.9
H5,18388.8,15337.6
H6,18392.5,15442.0
H7,17841.2,15348.5
H8,18021.8,15250.8
H9,18481.3,15260.9
H10,18161.8,14915.9
