FP example data,,,,
Cycle 1 (00:00:30),,,,
1. Raw Data (parallel),,,,

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,80.4,80.9,77.7,80.2,80.0,81.1,17932.3,18010.8,17863.1,17798.3,18024.3,17775.3,,,,,,,,,,,,
B,18048.2,18281.3,18111.8,18263.4,17686.2,18007.5,,,,,,,,,,,,,,,,,,
C,23401.2,24114.5,23750.4,22136.8,20631.1,19404.6,18194.1,18364.6,18016.4,17738.4,,,,,,,,,,,,,,
D,23871.4,23526.6,23742.4,22243.6,20835.7,18979.4,18755.8,18057.8,18302.8,18182.8,,,,,,,,,,,,,,
E,24153.1,23569.4,23823.7,21882.3,20805.0,18995.1,18755.2,18190.4,18006.4,18524.1,,,,,,,,,,,,,,
F,23868.0,22575.0,20445.7,19308.9,18780.4,18357.4,17587.1,17863.2,18094.6,18229.2,,,,,,,,,,,,,,
G,23332.6,22460.0,20604.0,19511.3,18005.4,18024.4,18717.9,18884.8,18552.7,18199.3,,,,,,,,,,,,,,
H,23327.0,22588.7,20887.0,19392.6,18388.8,18392.5,17841.2,18021.8,18481.3,18161.8,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular),,,,

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,78.8,81.1,78.4,79.6,79.0,80.9,15503.8,15599.2,15678.2,15520.2,15889.0,15540.3,,,,,,,,,,,,
B,15130.4,15166.3,15517.5,15384.9,15209.8,15121.4,,,,,,,,,,,,,,,,,,
C,12527.4,12499.9,12517.0,13268.6,14170.9,14669.2,15000.7,15396.4,14907.0,15400.2,,,,,,,,,,,,,,
D,12430.9,12387.5,12843.9,13253.3,14375.4,14799.6,15434.9,15154.8,14956.9,15769.6,,,,,,,,,,,,,,
E,12099.6,12451.0,12729.6,13231.2,13934.3,15217.0,15316.9,15096.8,15002.3,15283.2,,,,,,,,,,,,,,
F,12702.7,13281.7,14348.7,14437.3,15068.1,15252.0,15094.5,15515.7,15241.1,15280.8,,,,,,,,,,,,,,
G,12812.0,13746.4,13683.3,14520.4,14829.9,14829.4,15040.3,15224.4,15259.7,15284.8,,,,,,,,,,,,,,
H,12823.2,13278.1,13839.2,15025.9,15337.6,15442.0,15348.5,15250.8,15260.9,14915.9,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
