well,condition,sample_type,concentration,replicate
G1,WT,titration,32,1
G2,WT,titration,16,1
G3,WT,titration,8,1
G4,WT,titration,4,1
G5,WT,titration,2,1
G6,WT,titration,1,1
G7,WT,titration,0.5,1
G8,WT,substrate,,1
G9,WT,fluorophore,,1
G10,WT,blank,,1
H1,WT,titration,32,2
H2,WT,titration,16,2
H3,WT,titration,8,2
H4,WT,titration,4,2
H5,WT,titration,2,2
H6,WT,titration,1,2
H7,WT,titration,0.5,2
H8,WT,substrate,,2
H9,WT,fluorophore,,2
H10,WT,blank,,2
I1,WT,titration,32,3
I2,WT,titration,16,3
I3,WT,titration,8,3
I4,WT,titration,4,3
I5,WT,titration,2,3
I6,WT,titration,1,3
I7,WT,titration,0.5,3
I8,WT,substrate,,3
I9,WT,fluorophore,,3
I10,WT,blank,,3
